,precision,recall,f1-score,support
0,0.9744818858902493,0.9788837029599544,0.9766778347816982,419297.0
1,0.0,0.0,0.0,391.0
2,0.8917927733168622,0.9022770769050502,0.8970042906789368,25603.0
3,0.22182468694096602,0.12056392805055907,0.1562204724409449,2057.0
4,0.8972746331236897,0.8914087358981776,0.8943320660533418,34570.0
5,0.002004008016032064,0.0028680688336520078,0.0023594180102241447,1046.0
6,0.0,0.0,0.0,1077.0
7,0.2100456621004566,0.2325189553496209,0.22071171531387446,1187.0
8,0.0,0.0,0.0,2.0
9,0.0,0.0,0.0,7.0
10,0.8677297297297297,0.8837811054833737,0.8756818677722016,18164.0
11,0.0,0.0,0.0,644.0
12,0.0,0.0,0.0,294.0
13,0.0,0.0,0.0,4.0
14,0.0,0.0,0.0,130.0
accuracy,0.9533513190993373,0.9533513190993373,0.9533513190993373,0.9533513190993373
macro avg,0.2710102252745324,0.2674867715653592,0.26819917767008145,504473.0
weighted avg,0.9493428634150646,0.9533513190993373,0.9512755493029759,504473.0
