,precision,recall,f1-score,support
0,0.9935855724063246,0.9978153909996971,0.9956959895475732,419297.0
1,0.0,0.0,0.0,391.0
2,0.9994121796379026,0.996094207710034,0.9977504352418771,25603.0
3,0.9488348530901722,0.9105493437044239,0.9292979409575788,2057.0
4,0.994939480926874,0.9725195256002314,0.9836017612381328,34570.0
5,0.9352791878172588,0.7045889101338432,0.8037077426390403,1046.0
6,0.9359756097560976,0.8551532033426184,0.893740902474527,1077.0
7,0.9907407407407407,0.991575400168492,0.9911578947368421,1187.0
8,0.0,0.0,0.0,2.0
9,0.0,0.0,0.0,7.0
10,0.972029111449055,0.985300594582691,0.9786198600174978,18164.0
11,0.8904899135446686,0.9596273291925466,0.9237668161434978,644.0
12,1.0,0.05102040816326531,0.0970873786407767,294.0
13,0.0,0.0,0.0,4.0
14,0.0,0.0,0.0,130.0
accuracy,0.9926041631564029,0.9926041631564029,0.9926041631564029,0.9926041631564029
macro avg,0.6440857766246063,0.5616162875731896,0.5729617814424895,504473.0
weighted avg,0.9915852389386137,0.9926041631564029,0.9917899804379448,504473.0
