Model,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,ROC AUC,MCC,Cohen Kappa,Training Time,Prediction Time,Throughput,Latency,Memory Usage,Model Size
XGBoost,0.9986084488168842,0.9119142566059896,0.9985936195851048,0.9986084488168842,0.9985991820497988,0.9999775505483818,0.9953753884697012,0.995374579914768,628.0969700813293,14.016809701919556,35990.57208652223,0.0277850543079997,36.1875,0.0050935745239257
RandomForest,0.9984716724185436,0.8466231630602218,0.9983823891334244,0.9984716724185436,0.9984068954393862,0.9999410348831562,0.9949158481846416,0.9949156747289988,2065.309761285782,11.294302225112917,44666.15023620519,0.0223883185524555,35.765625,311.6539468765259
DecisionTree,0.9983745413530556,0.8962754068527072,0.9983927131866188,0.9983745413530556,0.9983812881689414,0.9983129977438644,0.994597236611189,0.9945966284140738,131.15026903152466,0.2800297737121582,1801497.724018969,0.0005550936793686,0.17578125,0.9774942398071288
ExtraTrees,0.9982516408212134,0.8864504009847707,0.9982406951219336,0.9982516408212134,0.9982449013639192,0.9995869780085068,0.994186390336423,0.9941860996927306,249.6961851119995,11.804153442382812,42736.90633236685,0.0233989796131464,959.66015625,1063.8696908950806
CatBoost,0.9977778790936284,0.7353651444452535,0.9974781875311954,0.9977778790936284,0.9975861783443338,0.9999426146446332,0.9925950177641616,0.99259086731224,156.1675248146057,0.6566457748413086,768257.4370053867,0.0013016470154821,1561.02734375,0.6081523895263672
LogisticRegression,0.9958848144499308,0.6208592192479312,0.995431214944287,0.9958848144499308,0.9955615763468032,0.99965467814937,0.9862674570947476,0.98625558645762,249.10381174087524,0.1671531200408935,3018029.2170231827,0.0003313420540661,134.51171875,0.0061941146850585
Linear SVM,0.9926041631564029,0.5616162875731896,0.9915852389386137,0.9926041631564029,0.9917899804379448,,0.9752311024195581,0.9751594618852732,491.21127796173096,0.2299518585205078,2193820.0597539833,0.00045582589855256437,1.59765625,0.006068229675292969
LightGBM,0.9533513190993372,0.2674867715653592,0.9493428634150646,0.9533513190993372,0.951275549302976,0.9237347529031494,0.8432526700059064,0.8431670739634054,251.4887163639069,5.568581581115723,90592.72862424755,0.0110384135149269,6.14453125,2.589763641357422
AdaBoost,0.8878334420276209,0.1625079038295405,0.8419241344033506,0.8878334420276209,0.8470975464612276,0.9403350408686416,0.575858943323898,0.5512152880313665,2204.595685720444,47.24715662002564,10677.319781529031,0.093656462526291,-399.73828125,0.2058830261230468
